customer_name,type,node
"San Carlos Sun Power, Inc.",CC,Cadiz
San Miguel Corporation,CC,Cebu
San Miguel Corporation,CC,Bacolod
SC Global Coco Products,CC,Ormoc
Shangri-la Boracay Resort and Spa,CC,Nabas
Shemberg Biotech Corporation,CC,Compostela
Shemberg Marketing Corporation,CC,Mandaue
Shoemart Incorporated M2,CC,Cebu
Shoemart Incorporated M2 (Meter 2),CC,Cebu
Shogun Management and Development Corp. – Gaisano Grand Carcar,CC,Naga
Shogun Management and Development Corporation – Gaisano Grand Mandaue,CC,Mandaue
"Silay Solar Power, Inc.",CC,Bacolod
Silliman University,CC,Amlan
Skyrise Realty & Development Corporation – Skyrise 1,CC,Cebu
Skyrise Realty & Development Corporation – Skyrise 2,CC,Cebu
"SM Prime Holdings, Inc. (SM City Consolacion)",CC,Quiot
"SM Prime Holdings, Inc. (SM Seaside M1)",CC,Quiot
"SM Prime Holdings, Inc. (SM Seaside M2)",CC,Quiot
"Smart Communications, Inc.",CC,Quiot
SMCGP Philippines Energy Storage Co. Ltd,CC,Kabankalan BESS
South Land Commercial Complex - Gaisano Fiesta Mall Tabunok,CC,Colon
"South Negros Biopower, Inc.",CC,Bacolod
"Southern Leyte Electric Cooperative, Inc.",DU,Maasin
SPC Island Power Corporation,CC,Dingle
SPC Power Corporation,CC,Tapal
"Specialty Pulp Manufacturing, Inc.",CC,Ormoc
Sunpride Foods Inc.,CC,Mandaue
"Sunwest Water and Electric Company 2, Inc.",CC,Sta. Barbara 
"Sykes Asia, Inc.",CC,Cebu
"Tacloban Oil Mills, Inc.",CC,Ormoc
"Taiheiyo Cement Philippines, Inc.",CC,Colon
Taipan Development Inc. (Gaisano Mactan),CC,Lapu-Lapu
"Taipan Development, Inc. (Gaisano South)",CC,Quiot
TBK Manufacturing Corporation,CC,Babatngon
"Tennessee Feed Mill, Inc.",CC,Colon
Teradyne Phils. Ltd.,CC,Lapu-Lapu
TG Universal Business Venture Corporation,CC,Cebu
"The Insular Life Assurance Company, Ltd. - Cebu",CC,Cebu
"Therma Power Visayas, Inc.",CC,Naga
"Therma Visayas, Inc.",CC,Therma Visayas
Toledo Power Company,CC,Toledo
Treasure Island Industrial Corp.,CC,Mandaue
Treasure Island Industrial Corp. (Chemical Plant),CC,Cebu
Tsuneishi Heavy Industries (Cebu) Inc. - Main (THI Main),CC,Calung-Calung
Tsuneishi Heavy Industries (Cebu) Inc. (THI Phase 3),CC,Calung-Calung
Tsuneishi Heavy Industries (Cebu) Inc. (THI Phase 4),CC,Calung-Calung
Tsuneishi Heavy Industries (Cebu) Inc. (THI Slipway 2),CC,Calung-Calung
Universal Feed Mill Corporation,CC,Mandaue
Universal Robina Corporation,CC,Mabinay
Universal Robina Corporation (San Fernando Plant),CC,Colon
University of Cebu Medical Center  Inc.,CC,Mandaue
University of San Carlos,CC,Cebu
University of San Carlos,CC,Quiot
"Victorias Milling Company, Inc.",CC,Cadiz
"Virgina Food, Inc. - Processing Plant",CC,Compostela
Visayan Electric Company,DU,Cebu
Visayan Electric Company,DU,Colon
Visayan Electric Company,DU,Compostela
Visayan Electric Company,DU,Mandaue
Visayan Electric Company,DU,Naga
Visayan Electric Company,DU,Quiot
"Visayan Oil Mills, Inc.",CC,Ormoc
"Waterfront Cebu City Casino Hotel, Incorporated",CC,Cebu
"Waterfront Mactan Casino Hotel, Inc.",CC,Lapu-Lapu
Worldwide Steel Group Incorporated,CC,Cebu
Zenith Foods Corporation,CC,Mandaue
